매장명,게시물키,등록일시,결과,비고,게시물ID,문구미리보기
KT플라자 충무공동 진주혁신점,ac7696effead,2026-09-01T03:11:33.693Z,성공,,accounts/108642176633190765581/locations/17434943185661212637/localPosts/7047321602243943045,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 충무동 여수충무점,ac7696effead,2026-09-01T03:11:36.886Z,성공,,accounts/108642176633190765581/locations/7757350751261421761/localPosts/3883754983369956396,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 충인동 충주충인점,ac7696effead,2026-09-01T03:11:40.493Z,성공,,accounts/108642176633190765581/locations/4126679517337293636/localPosts/6738218981023582278,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 치평동 상무점,ac7696effead,2026-09-01T03:11:43.899Z,성공,,accounts/108642176633190765581/locations/1815050019925689016/localPosts/13115109343423080,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 침산동 침산네거리점,ac7696effead,2026-09-01T03:11:47.676Z,성공,,accounts/108642176633190765581/locations/3616252759491746127/localPosts/659546723532040616,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 탄방동 문정로점,ac7696effead,2026-09-01T03:11:51.561Z,성공,,accounts/108642176633190765581/locations/7386865973735279668/localPosts/8963006630267434294,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 평택역점,ac7696effead,2026-09-01T03:11:55.166Z,성공,,accounts/108642176633190765581/locations/4810112136449186616/localPosts/7592421641959320170,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 평화동 김천역점,ac7696effead,2026-09-01T03:11:58.050Z,성공,,accounts/108642176633190765581/locations/15731983171416500680/localPosts/7067764880137176933,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 평화동 평화점,ac7696effead,2026-09-01T03:12:01.928Z,성공,,accounts/108642176633190765581/locations/17314336504475239235/localPosts/2788752507748413017,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 하안동 하안점,ac7696effead,2026-09-01T03:12:05.614Z,성공,,accounts/108642176633190765581/locations/2749315110970479972/localPosts/7151084674470608801,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 학동 학동점,ac7696effead,2026-09-01T03:12:08.583Z,성공,,accounts/108642176633190765581/locations/4186307716344891909/localPosts/3857324009733644639,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 학동역점,ac7696effead,2026-09-01T03:12:11.905Z,성공,,accounts/108642176633190765581/locations/9035687793003040996/localPosts/2687362598175903821,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 한강로 신용산역점,ac7696effead,2026-09-01T03:12:15.688Z,성공,,accounts/108642176633190765581/locations/16582160048976189055/localPosts/5840757655144709239,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 호계동 호계점,ac7696effead,2026-09-01T03:12:19.244Z,성공,,accounts/108642176633190765581/locations/4360513238648410651/localPosts/271048865610448517,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 홍제동 강릉유천점,ac7696effead,2026-09-01T03:12:23.330Z,성공,,accounts/108642176633190765581/locations/13647753794735043174/localPosts/7589482359456991209,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
KT플라자 홍천읍 홍천중앙점,ac7696effead,2026-09-01T03:12:26.687Z,성공,,accounts/108642176633190765581/locations/1640640919619216889/localPosts/2897162229826943417,갤럭시·아이폰 신모델 혜택 소식을 빠르게 확인하는 방법은? KT플라자 매
